cx_type,sentence,tgt_words,sentence_with_idxs,errors
Let Alone,There must have been text books around at one time but I can not even identify any titles let alone suppliers.,"[18, 19]","[(0, 'There'), (1, 'must'), (2, 'have'), (3, 'been'), (4, 'text'), (5, 'books'), (6, 'around'), (7, 'at'), (8, 'one'), (9, 'time'), (10, 'but'), (11, 'I'), (12, 'can'), (13, 'not'), (14, 'even'), (15, 'identify'), (16, 'any'), (17, 'titles'), (18, 'let'), (19, 'alone'), (20, 'suppliers.'), (21, '(FN'), (22, 'Construction)')]",
Let Alone,Which leads one to ask what becomes of the sinner let alone the great sinner.,"[10, 11]","[(0, 'Which'), (1, 'leads'), (2, 'one'), (3, 'to'), (4, 'ask'), (5, 'what'), (6, 'becomes'), (7, 'of'), (8, 'the'), (9, 'sinner'), (10, 'let'), (11, 'alone'), (12, 'the'), (13, 'great'), (14, 'sinner.'), (15, '(FN'), (16, 'Construction)')]",
Let Alone,"BEER tipped on a member of the audience is not everyone 's idea of art, let alone a joke.","[15, 16]","[(0, 'BEER'), (1, 'tipped'), (2, 'on'), (3, 'a'), (4, 'member'), (5, 'of'), (6, 'the'), (7, 'audience'), (8, 'is'), (9, 'not'), (10, 'everyone'), (11, ""'s""), (12, 'idea'), (13, 'of'), (14, 'art,'), (15, 'let'), (16, 'alone'), (17, 'a'), (18, 'joke.'), (19, '(FN'), (20, 'Construction)')]",
Let Alone,"Emigration to Australia or New Zealand, let alone the United States, which had its own extreme problems of crime and racial violence, was little more than a trickle.","[6, 7]","[(0, 'Emigration'), (1, 'to'), (2, 'Australia'), (3, 'or'), (4, 'New'), (5, 'Zealand,'), (6, 'let'), (7, 'alone'), (8, 'the'), (9, 'United'), (10, 'States,'), (11, 'which'), (12, 'had'), (13, 'its'), (14, 'own'), (15, 'extreme'), (16, 'problems'), (17, 'of'), (18, 'crime'), (19, 'and'), (20, 'racial'), (21, 'violence,'), (22, 'was'), (23, 'little'), (24, 'more'), (25, 'than'), (26, 'a'), (27, 'trickle.'), (28, '(FN'), (29, 'Construction)')]",
Let Alone,"It's unsurprising that such an attitude failed to produce competent screenwriters, let alone exciting ones.","[11, 12]","[(0, ""It's""), (1, 'unsurprising'), (2, 'that'), (3, 'such'), (4, 'an'), (5, 'attitude'), (6, 'failed'), (7, 'to'), (8, 'produce'), (9, 'competent'), (10, 'screenwriters,'), (11, 'let'), (12, 'alone'), (13, 'exciting'), (14, 'ones.'), (15, '(FN'), (16, 'Construction)')]",
Let Alone,People didn't even know most other people's names let alone their dogs.,"[8, 9]","[(0, 'People'), (1, ""didn't""), (2, 'even'), (3, 'know'), (4, 'most'), (5, 'other'), (6, ""people's""), (7, 'names'), (8, 'let'), (9, 'alone'), (10, 'their'), (11, 'dogs.'), (12, '(FN'), (13, 'Construction)')]",
Let Alone,"Their minor acts of sabotage -- reminiscent of those of Welsh nationalists -- caused no injuries, let alone deaths.","[16, 17]","[(0, 'Their'), (1, 'minor'), (2, 'acts'), (3, 'of'), (4, 'sabotage'), (5, '--'), (6, 'reminiscent'), (7, 'of'), (8, 'those'), (9, 'of'), (10, 'Welsh'), (11, 'nationalists'), (12, '--'), (13, 'caused'), (14, 'no'), (15, 'injuries,'), (16, 'let'), (17, 'alone'), (18, 'deaths.'), (19, '(FN'), (20, 'Construction)')]",
Let Alone,"Largely preoccupied by a sense of not being able to win, they have little sense of commitment to themselves, let alone to a person of the opposite sex.","[19, 20]","[(0, 'Largely'), (1, 'preoccupied'), (2, 'by'), (3, 'a'), (4, 'sense'), (5, 'of'), (6, 'not'), (7, 'being'), (8, 'able'), (9, 'to'), (10, 'win,'), (11, 'they'), (12, 'have'), (13, 'little'), (14, 'sense'), (15, 'of'), (16, 'commitment'), (17, 'to'), (18, 'themselves,'), (19, 'let'), (20, 'alone'), (21, 'to'), (22, 'a'), (23, 'person'), (24, 'of'), (25, 'the'), (26, 'opposite'), (27, 'sex.'), (28, '(FN'), (29, 'Construction)')]",
Let Alone,"These days, most women 's lives are so varied that no single scent will take us from gym to office, from desk to dinner -- let alone dawn till dusk.","[25, 26]","[(0, 'These'), (1, 'days,'), (2, 'most'), (3, 'women'), (4, ""'s""), (5, 'lives'), (6, 'are'), (7, 'so'), (8, 'varied'), (9, 'that'), (10, 'no'), (11, 'single'), (12, 'scent'), (13, 'will'), (14, 'take'), (15, 'us'), (16, 'from'), (17, 'gym'), (18, 'to'), (19, 'office,'), (20, 'from'), (21, 'desk'), (22, 'to'), (23, 'dinner'), (24, '--'), (25, 'let'), (26, 'alone'), (27, 'dawn'), (28, 'till'), (29, 'dusk.'), (30, '(FN'), (31, 'Construction)')]",
Let Alone,"Here relationships between the local inhabitants and party members and agents will be examined without reference to Kursk, let alone to Moscow.","[18, 19]","[(0, 'Here'), (1, 'relationships'), (2, 'between'), (3, 'the'), (4, 'local'), (5, 'inhabitants'), (6, 'and'), (7, 'party'), (8, 'members'), (9, 'and'), (10, 'agents'), (11, 'will'), (12, 'be'), (13, 'examined'), (14, 'without'), (15, 'reference'), (16, 'to'), (17, 'Kursk,'), (18, 'let'), (19, 'alone'), (20, 'to'), (21, 'Moscow.'), (22, '(FN'), (23, 'Construction)')]",
Let Alone,"It is not easy to know how far Kafka's fictions can be thought to answer descriptively to the historical realities of his time, let alone to those which his fictions are often thought to have predicted.","[23, 24]","[(0, 'It'), (1, 'is'), (2, 'not'), (3, 'easy'), (4, 'to'), (5, 'know'), (6, 'how'), (7, 'far'), (8, ""Kafka's""), (9, 'fictions'), (10, 'can'), (11, 'be'), (12, 'thought'), (13, 'to'), (14, 'answer'), (15, 'descriptively'), (16, 'to'), (17, 'the'), (18, 'historical'), (19, 'realities'), (20, 'of'), (21, 'his'), (22, 'time,'), (23, 'let'), (24, 'alone'), (25, 'to'), (26, 'those'), (27, 'which'), (28, 'his'), (29, 'fictions'), (30, 'are'), (31, 'often'), (32, 'thought'), (33, 'to'), (34, 'have'), (35, 'predicted.'), (36, '(FN'), (37, 'Construction)')]",
Let Alone,"Most Liberals were opposed to the Labour Party let alone to the Communists, but there was an important radical wing of the Party which was attracted by the Peoples Front idea.","[8, 9]","[(0, 'Most'), (1, 'Liberals'), (2, 'were'), (3, 'opposed'), (4, 'to'), (5, 'the'), (6, 'Labour'), (7, 'Party'), (8, 'let'), (9, 'alone'), (10, 'to'), (11, 'the'), (12, 'Communists,'), (13, 'but'), (14, 'there'), (15, 'was'), (16, 'an'), (17, 'important'), (18, 'radical'), (19, 'wing'), (20, 'of'), (21, 'the'), (22, 'Party'), (23, 'which'), (24, 'was'), (25, 'attracted'), (26, 'by'), (27, 'the'), (28, 'Peoples'), (29, 'Front'), (30, 'idea.'), (31, '(FN'), (32, 'Construction)')]",
Let Alone,"There has been little understanding or recognition of the rights of teachers as employees let alone as adults with needs, expectations and aspirations.","[14, 15]","[(0, 'There'), (1, 'has'), (2, 'been'), (3, 'little'), (4, 'understanding'), (5, 'or'), (6, 'recognition'), (7, 'of'), (8, 'the'), (9, 'rights'), (10, 'of'), (11, 'teachers'), (12, 'as'), (13, 'employees'), (14, 'let'), (15, 'alone'), (16, 'as'), (17, 'adults'), (18, 'with'), (19, 'needs,'), (20, 'expectations'), (21, 'and'), (22, 'aspirations.'), (23, '(FN'), (24, 'Construction)')]",
Let Alone,"Opportunities for specialists in an information-based business organization should be more plentiful than they are in an orchestra or hospital, let alone in the Indian civil service.","[20, 21]","[(0, 'Opportunities'), (1, 'for'), (2, 'specialists'), (3, 'in'), (4, 'an'), (5, 'information-based'), (6, 'business'), (7, 'organization'), (8, 'should'), (9, 'be'), (10, 'more'), (11, 'plentiful'), (12, 'than'), (13, 'they'), (14, 'are'), (15, 'in'), (16, 'an'), (17, 'orchestra'), (18, 'or'), (19, 'hospital,'), (20, 'let'), (21, 'alone'), (22, 'in'), (23, 'the'), (24, 'Indian'), (25, 'civil'), (26, 'service.'), (27, '(FN'), (28, 'Construction)')]",
Let Alone,"And to think, he wrote, that with all my previous work I barely knew what step to take first, let alone what step to take second, let us not talk about the third.","[19, 20]","[(0, 'And'), (1, 'to'), (2, 'think,'), (3, 'he'), (4, 'wrote,'), (5, 'that'), (6, 'with'), (7, 'all'), (8, 'my'), (9, 'previous'), (10, 'work'), (11, 'I'), (12, 'barely'), (13, 'knew'), (14, 'what'), (15, 'step'), (16, 'to'), (17, 'take'), (18, 'first,'), (19, 'let'), (20, 'alone'), (21, 'what'), (22, 'step'), (23, 'to'), (24, 'take'), (25, 'second,'), (26, 'let'), (27, 'us'), (28, 'not'), (29, 'talk'), (30, 'about'), (31, 'the'), (32, 'third.'), (33, '(FN'), (34, 'Construction)')]",
Let Alone,"Like any self-respecting academics, the Brookings authors do not agree on what the problem is, let alone how to cure it.","[15, 16]","[(0, 'Like'), (1, 'any'), (2, 'self-respecting'), (3, 'academics,'), (4, 'the'), (5, 'Brookings'), (6, 'authors'), (7, 'do'), (8, 'not'), (9, 'agree'), (10, 'on'), (11, 'what'), (12, 'the'), (13, 'problem'), (14, 'is,'), (15, 'let'), (16, 'alone'), (17, 'how'), (18, 'to'), (19, 'cure'), (20, 'it.'), (21, '(FN'), (22, 'Construction)')]",
Let Alone,"At this lowest level of British industry it is almost as though struggles are not expected to occur, let alone be won.","[18, 19]","[(0, 'At'), (1, 'this'), (2, 'lowest'), (3, 'level'), (4, 'of'), (5, 'British'), (6, 'industry'), (7, 'it'), (8, 'is'), (9, 'almost'), (10, 'as'), (11, 'though'), (12, 'struggles'), (13, 'are'), (14, 'not'), (15, 'expected'), (16, 'to'), (17, 'occur,'), (18, 'let'), (19, 'alone'), (20, 'be'), (21, 'won.'), (22, '(FN'), (23, 'Construction)')]",
Let Alone,"But I also realized that I would be exceedingly lucky to keep my existing road and rail budgets, let alone add massive new expenditure.","[18, 19]","[(0, 'But'), (1, 'I'), (2, 'also'), (3, 'realized'), (4, 'that'), (5, 'I'), (6, 'would'), (7, 'be'), (8, 'exceedingly'), (9, 'lucky'), (10, 'to'), (11, 'keep'), (12, 'my'), (13, 'existing'), (14, 'road'), (15, 'and'), (16, 'rail'), (17, 'budgets,'), (18, 'let'), (19, 'alone'), (20, 'add'), (21, 'massive'), (22, 'new'), (23, 'expenditure.'), (24, '(FN'), (25, 'Construction)')]",
Let Alone,"The old Herring and Addis tools were made with a finesse and temper that modern tools do not approach, let alone equal.","[19, 20]","[(0, 'The'), (1, 'old'), (2, 'Herring'), (3, 'and'), (4, 'Addis'), (5, 'tools'), (6, 'were'), (7, 'made'), (8, 'with'), (9, 'a'), (10, 'finesse'), (11, 'and'), (12, 'temper'), (13, 'that'), (14, 'modern'), (15, 'tools'), (16, 'do'), (17, 'not'), (18, 'approach,'), (19, 'let'), (20, 'alone'), (21, 'equal.'), (22, '(FN'), (23, 'Construction)')]",
Let Alone,"How many modern Prime Ministers could recall such exploits in their past, let alone dare to boast about them?","[12, 13]","[(0, 'How'), (1, 'many'), (2, 'modern'), (3, 'Prime'), (4, 'Ministers'), (5, 'could'), (6, 'recall'), (7, 'such'), (8, 'exploits'), (9, 'in'), (10, 'their'), (11, 'past,'), (12, 'let'), (13, 'alone'), (14, 'dare'), (15, 'to'), (16, 'boast'), (17, 'about'), (18, 'them?'), (19, '(FN'), (20, 'Construction)')]",
Let Alone,"Contrary to what folk models of the RUC might lead one to expect, most policemen and women at Easton have not even drawn their gun, let alone fired it.","[25, 26]","[(0, 'Contrary'), (1, 'to'), (2, 'what'), (3, 'folk'), (4, 'models'), (5, 'of'), (6, 'the'), (7, 'RUC'), (8, 'might'), (9, 'lead'), (10, 'one'), (11, 'to'), (12, 'expect,'), (13, 'most'), (14, 'policemen'), (15, 'and'), (16, 'women'), (17, 'at'), (18, 'Easton'), (19, 'have'), (20, 'not'), (21, 'even'), (22, 'drawn'), (23, 'their'), (24, 'gun,'), (25, 'let'), (26, 'alone'), (27, 'fired'), (28, 'it.'), (29, '(FN'), (30, 'Construction)')]",
Let Alone,"Most of my friends haven't been outside Australia, let alone been all over the world.","[8, 9]","[(0, 'Most'), (1, 'of'), (2, 'my'), (3, 'friends'), (4, ""haven't""), (5, 'been'), (6, 'outside'), (7, 'Australia,'), (8, 'let'), (9, 'alone'), (10, 'been'), (11, 'all'), (12, 'over'), (13, 'the'), (14, 'world.'), (15, '(FN'), (16, 'Construction)')]",
Let Alone,"In Southall now, particularly since the murder in summer 1976 of a young man, Gurdeep Singh Chaggar, by racist thugs, few Asian adults even think about integration, let alone want it.","[27, 28]","[(0, 'In'), (1, 'Southall'), (2, 'now,'), (3, 'particularly'), (4, 'since'), (5, 'the'), (6, 'murder'), (7, 'in'), (8, 'summer'), (9, '1976'), (10, 'of'), (11, 'a'), (12, 'young'), (13, 'man,'), (14, 'Gurdeep'), (15, 'Singh'), (16, 'Chaggar,'), (17, 'by'), (18, 'racist'), (19, 'thugs,'), (20, 'few'), (21, 'Asian'), (22, 'adults'), (23, 'even'), (24, 'think'), (25, 'about'), (26, 'integration,'), (27, 'let'), (28, 'alone'), (29, 'want'), (30, 'it.'), (31, '(FN'), (32, 'Construction)')]",
Let Alone,"Mrs Parvis gave no sign of being interested in her, let alone liking her enough to want to touch her.","[10, 11]","[(0, 'Mrs'), (1, 'Parvis'), (2, 'gave'), (3, 'no'), (4, 'sign'), (5, 'of'), (6, 'being'), (7, 'interested'), (8, 'in'), (9, 'her,'), (10, 'let'), (11, 'alone'), (12, 'liking'), (13, 'her'), (14, 'enough'), (15, 'to'), (16, 'want'), (17, 'to'), (18, 'touch'), (19, 'her.'), (20, '(FN'), (21, 'Construction)')]",
Let Alone,"It takes science to come along and tell us that what is going on under these circumstances is a brain process, let alone to tell us which brain process it is.","[21, 22]","[(0, 'It'), (1, 'takes'), (2, 'science'), (3, 'to'), (4, 'come'), (5, 'along'), (6, 'and'), (7, 'tell'), (8, 'us'), (9, 'that'), (10, 'what'), (11, 'is'), (12, 'going'), (13, 'on'), (14, 'under'), (15, 'these'), (16, 'circumstances'), (17, 'is'), (18, 'a'), (19, 'brain'), (20, 'process,'), (21, 'let'), (22, 'alone'), (23, 'to'), (24, 'tell'), (25, 'us'), (26, 'which'), (27, 'brain'), (28, 'process'), (29, 'it'), (30, 'is.'), (31, '(FN'), (32, 'Construction)')]",
Let Alone,Most stable-lads would have counted themselves lucky even to get a ride let alone to win a race.,"[12, 13]","[(0, 'Most'), (1, 'stable-lads'), (2, 'would'), (3, 'have'), (4, 'counted'), (5, 'themselves'), (6, 'lucky'), (7, 'even'), (8, 'to'), (9, 'get'), (10, 'a'), (11, 'ride'), (12, 'let'), (13, 'alone'), (14, 'to'), (15, 'win'), (16, 'a'), (17, 'race.'), (18, '(FN'), (19, 'Construction)')]",
Let Alone,But how soon they could be made into practical let alone commercial devices is anybody's guess.,"[9, 10]","[(0, 'But'), (1, 'how'), (2, 'soon'), (3, 'they'), (4, 'could'), (5, 'be'), (6, 'made'), (7, 'into'), (8, 'practical'), (9, 'let'), (10, 'alone'), (11, 'commercial'), (12, 'devices'), (13, 'is'), (14, ""anybody's""), (15, 'guess.'), (16, '(FN'), (17, 'Construction)')]",
Let Alone,"As though in wonder that any virus, let alone a foreign one, would dare to get up the royal hooter.","[7, 8]","[(0, 'As'), (1, 'though'), (2, 'in'), (3, 'wonder'), (4, 'that'), (5, 'any'), (6, 'virus,'), (7, 'let'), (8, 'alone'), (9, 'a'), (10, 'foreign'), (11, 'one,'), (12, 'would'), (13, 'dare'), (14, 'to'), (15, 'get'), (16, 'up'), (17, 'the'), (18, 'royal'), (19, 'hooter.'), (20, '(FN'), (21, 'Construction)')]",
Let Alone,"Not one of the 33 No-voters, let alone the 24 abstainers, was prepared to go on television on Tuesday night to stand by Sir Anthony.","[6, 7]","[(0, 'Not'), (1, 'one'), (2, 'of'), (3, 'the'), (4, '33'), (5, 'No-voters,'), (6, 'let'), (7, 'alone'), (8, 'the'), (9, '24'), (10, 'abstainers,'), (11, 'was'), (12, 'prepared'), (13, 'to'), (14, 'go'), (15, 'on'), (16, 'television'), (17, 'on'), (18, 'Tuesday'), (19, 'night'), (20, 'to'), (21, 'stand'), (22, 'by'), (23, 'Sir'), (24, 'Anthony.'), (25, '(FN'), (26, 'Construction)')]",
Let Alone,Benn is too much a product of his comfortable and intensely high-minded background to be able to understand why the common man let alone the common politician has more vulgar aspirations than plain living and high thinking.,"[22, 23]","[(0, 'Benn'), (1, 'is'), (2, 'too'), (3, 'much'), (4, 'a'), (5, 'product'), (6, 'of'), (7, 'his'), (8, 'comfortable'), (9, 'and'), (10, 'intensely'), (11, 'high-minded'), (12, 'background'), (13, 'to'), (14, 'be'), (15, 'able'), (16, 'to'), (17, 'understand'), (18, 'why'), (19, 'the'), (20, 'common'), (21, 'man'), (22, 'let'), (23, 'alone'), (24, 'the'), (25, 'common'), (26, 'politician'), (27, 'has'), (28, 'more'), (29, 'vulgar'), (30, 'aspirations'), (31, 'than'), (32, 'plain'), (33, 'living'), (34, 'and'), (35, 'high'), (36, 'thinking.'), (37, '(FN'), (38, 'Construction)')]",
Let Alone,"Promises of a new bullet train here, a relief road there, let alone an airport or large tourist attraction, are clearly likely to favour the ruling party in dozens of marginal constituencies.","[11, 12]","[(0, 'Promises'), (1, 'of'), (2, 'a'), (3, 'new'), (4, 'bullet'), (5, 'train'), (6, 'here,'), (7, 'a'), (8, 'relief'), (9, 'road'), (10, 'there,'), (11, 'let'), (12, 'alone'), (13, 'an'), (14, 'airport'), (15, 'or'), (16, 'large'), (17, 'tourist'), (18, 'attraction,'), (19, 'are'), (20, 'clearly'), (21, 'likely'), (22, 'to'), (23, 'favour'), (24, 'the'), (25, 'ruling'), (26, 'party'), (27, 'in'), (28, 'dozens'), (29, 'of'), (30, 'marginal'), (31, 'constituencies.'), (32, '(FN'), (33, 'Construction)')]",
Let Alone,"You'd have trouble swinging a gerbil, let alone a cat, in the kitchen.","[6, 7]","[(0, ""You'd""), (1, 'have'), (2, 'trouble'), (3, 'swinging'), (4, 'a'), (5, 'gerbil,'), (6, 'let'), (7, 'alone'), (8, 'a'), (9, 'cat,'), (10, 'in'), (11, 'the'), (12, 'kitchen.'), (13, '(FN'), (14, 'Construction)')]",
Let Alone,"Beecher's reputation as a preacher, let alone as a Man of God, was not universally accepted.","[5, 6]","[(0, ""Beecher's""), (1, 'reputation'), (2, 'as'), (3, 'a'), (4, 'preacher,'), (5, 'let'), (6, 'alone'), (7, 'as'), (8, 'a'), (9, 'Man'), (10, 'of'), (11, 'God,'), (12, 'was'), (13, 'not'), (14, 'universally'), (15, 'accepted.'), (16, '(FN'), (17, 'Construction)')]",
Let Alone,"Perhaps more fundamental than this was the criticism he received from a Methodist minister that the book does not really mention, let alone do justice to, the central Christian doctrine of Justification by Faith.","[21, 22]","[(0, 'Perhaps'), (1, 'more'), (2, 'fundamental'), (3, 'than'), (4, 'this'), (5, 'was'), (6, 'the'), (7, 'criticism'), (8, 'he'), (9, 'received'), (10, 'from'), (11, 'a'), (12, 'Methodist'), (13, 'minister'), (14, 'that'), (15, 'the'), (16, 'book'), (17, 'does'), (18, 'not'), (19, 'really'), (20, 'mention,'), (21, 'let'), (22, 'alone'), (23, 'do'), (24, 'justice'), (25, 'to,'), (26, 'the'), (27, 'central'), (28, 'Christian'), (29, 'doctrine'), (30, 'of'), (31, 'Justification'), (32, 'by'), (33, 'Faith.'), (34, '(FN'), (35, 'Construction)')]",
Let Alone,"The Protestant majority in Ulster totally refused to acknowledge, let alone operate, the Hillsborough Agreement.","[9, 10]","[(0, 'The'), (1, 'Protestant'), (2, 'majority'), (3, 'in'), (4, 'Ulster'), (5, 'totally'), (6, 'refused'), (7, 'to'), (8, 'acknowledge,'), (9, 'let'), (10, 'alone'), (11, 'operate,'), (12, 'the'), (13, 'Hillsborough'), (14, 'Agreement.'), (15, '(FN'), (16, 'Construction)')]",
Let Alone,"The director-general, Michael Checkland, once publicly reprimanded The Late Show's producers, reminding them that most licence-fee payers had never heard of -- let alone visited -- the Groucho Club.","[22, 23]","[(0, 'The'), (1, 'director-general,'), (2, 'Michael'), (3, 'Checkland,'), (4, 'once'), (5, 'publicly'), (6, 'reprimanded'), (7, 'The'), (8, 'Late'), (9, ""Show's""), (10, 'producers,'), (11, 'reminding'), (12, 'them'), (13, 'that'), (14, 'most'), (15, 'licence-fee'), (16, 'payers'), (17, 'had'), (18, 'never'), (19, 'heard'), (20, 'of'), (21, '--'), (22, 'let'), (23, 'alone'), (24, 'visited'), (25, '--'), (26, 'the'), (27, 'Groucho'), (28, 'Club.'), (29, '(FN'), (30, 'Construction)')]",
Let Alone,"The disadvantage was that 'the liberal bridle-path' could be seen, let alone followed, only by liberals.","[10, 11]","[(0, 'The'), (1, 'disadvantage'), (2, 'was'), (3, 'that'), (4, ""'the""), (5, 'liberal'), (6, ""bridle-path'""), (7, 'could'), (8, 'be'), (9, 'seen,'), (10, 'let'), (11, 'alone'), (12, 'followed,'), (13, 'only'), (14, 'by'), (15, 'liberals.'), (16, '(FN'), (17, 'Construction)')]",
Let Alone,"Where Musgrove and John Hopkins, who put it all together, got lucky was that they chronicled a period of success that may never have been equalled, let alone exceeded, by any British golfer.","[26, 27]","[(0, 'Where'), (1, 'Musgrove'), (2, 'and'), (3, 'John'), (4, 'Hopkins,'), (5, 'who'), (6, 'put'), (7, 'it'), (8, 'all'), (9, 'together,'), (10, 'got'), (11, 'lucky'), (12, 'was'), (13, 'that'), (14, 'they'), (15, 'chronicled'), (16, 'a'), (17, 'period'), (18, 'of'), (19, 'success'), (20, 'that'), (21, 'may'), (22, 'never'), (23, 'have'), (24, 'been'), (25, 'equalled,'), (26, 'let'), (27, 'alone'), (28, 'exceeded,'), (29, 'by'), (30, 'any'), (31, 'British'), (32, 'golfer.'), (33, '(FN'), (34, 'Construction)')]",
Let Alone,"However, its role in influencing these rhythms -- let alone actually being responsible for them -- is not at all established.","[8, 9]","[(0, 'However,'), (1, 'its'), (2, 'role'), (3, 'in'), (4, 'influencing'), (5, 'these'), (6, 'rhythms'), (7, '--'), (8, 'let'), (9, 'alone'), (10, 'actually'), (11, 'being'), (12, 'responsible'), (13, 'for'), (14, 'them'), (15, '--'), (16, 'is'), (17, 'not'), (18, 'at'), (19, 'all'), (20, 'established.'), (21, '(FN'), (22, 'Construction)')]",
Let Alone,"The first membranes they made were far too thin and would not survive transfer into air, let alone freeze-drying.","[16, 17]","[(0, 'The'), (1, 'first'), (2, 'membranes'), (3, 'they'), (4, 'made'), (5, 'were'), (6, 'far'), (7, 'too'), (8, 'thin'), (9, 'and'), (10, 'would'), (11, 'not'), (12, 'survive'), (13, 'transfer'), (14, 'into'), (15, 'air,'), (16, 'let'), (17, 'alone'), (18, 'freeze-drying.'), (19, '(FN'), (20, 'Construction)')]",
Let Alone,"Then no-one would have been satisfied, let alone the person who is the victim in all this.","[6, 7]","[(0, 'Then'), (1, 'no-one'), (2, 'would'), (3, 'have'), (4, 'been'), (5, 'satisfied,'), (6, 'let'), (7, 'alone'), (8, 'the'), (9, 'person'), (10, 'who'), (11, 'is'), (12, 'the'), (13, 'victim'), (14, 'in'), (15, 'all'), (16, 'this.'), (17, '(FN'), (18, 'Construction)')]",
