Let Alone,Way Manner,Resultative,Conative,Intransitive Motion,Caused Motion,Causative with CxN,Ditransitive CxN,Comparative Correlative ,,Much Less ,,
There must have been text books around at one time but I can not even identify any titles let alone suppliers. (FN Construction),"Sure enough, a sparkling line of firelight was twitching its way up the hill, the red gleam of flame shifting constantly in the slight breeze, and disappearing now and again as the marchers tracked up or down slopes in the road.",Selective Service officials debated the problem until the Armistice RENDERED it moot . (COCA),Luke kicked at the chair leg with the toe of his leather half-boot.  (COCA),A part of what the ground and oceans and lower atmosphere absorb also LEAKS outward through the atmosphere in the form of infrared radiation. (AMR),"After the seven hundred passengers on the train were stranded for two hours , they were GUIDED through the tunnels to a safe place . (AMR)",The Chinese already have flooded the market with juice-grade apples. (COCA),She quoted Jo a passage. (Goldberg),"The more bureaucrats run charities, the more people who need them. (AMR)",,Few people have the courage to live by the truth- much less express it with the clarity you have in your post herein. (COCA),,
Which leads one to ask what becomes of the sinner let alone the great sinner. (FN Construction),"There were lots of people in plastic rain hoods puffing their way up a huge, cobbled stairway, complaining at how wide apart the steps had been laid.","No one could have escaped the emotional shock of the transformation , MADE all the more dramatic by the stifling heat . (COCA)",He looked down and poked at the keyboard.  (COCA),"He had just DANCED a circle around the Grim Reaper, and encounted this problem on top of that. I was really worried he wouldn't pull through. (AMR)","Now, if her running mate were to be someone named Turner, the dems could be in trouble, like, a Bachmann-Turner ticket would BLOW them off the road once the campaign got into overdrive. (AMR)",Rosa covered his face with kisses. (COCA),She shot him a keep-quiet look. (Goldberg),"The more private sources run charities, the less people need them. (AMR)",,they can't even recognize a threat much less act intelligently. (COCA),,
"BEER tipped on a member of the audience is not everyone 's idea of art, let alone a joke. (FN Construction)","We set out from Spean Bridge, where numerous coach parties enjoy real Highland hospitality in the Little Chef, before choosing from a rich selection of tartan travel rugs and heather-perfumed candles in the gift shop, and chugged our way up past Corriechoille farm.",The subsequent reduction in body weight can LEAVE the young quail more vulnerable to predators . (COCA),Mary Elizabeth jumped up and poked at the potatoes. (COCA),"Proposals to deport convicts serving time for nonviolent crimes before they were paroled have failed to gain support from legislative leaders, who feared if they were paroled and returned home they would simply SLIP back across the border into Texas. (AMR)",If any of you think that someone from Headquarters Marine Corps care about you once they KICK you out the door talk to a retiree. (AMR),He lay on the bed and covered his face with a blanket. (COCA),She threw him a parting glance. (Goldberg) ,"Funny thing is you said ""It's like the more shenanigans the libtards play, the less willing people are to seek middle ground at all."" (AMR)",,I wouldn't trust the Wizard to flush a toilet much less manage a whole utility. (COCA),,
"Emigration to Australia or New Zealand, let alone the United States, which had its own extreme problems of crime and racial violence, was little more than a trickle. (FN Construction)","She stared from one to the other, feeling apprehension shiver its cold way along her spine.","The patient is MADE "" invisible "" by ignoring specific problems such as pain , anxiety , and previous experiences . (COCA)",I poked at the ice cubes in my drink. (COCA),"This is somewhat similar to monkeys who have hairs : when it rains , they would hold their heads with their hands , and such a direction of their hairs would be easier for the rain to FLOW away along their elbows. (AMR)","Several of us A2K'ers have created a support group to painlessly GUIDE you towards appearing knowledgeable even if, like many of us, you are clueless. (AMR)",Turning to the wall he covered his face with a pillow. (COCA),They're going to kill Reagan a commie (Green 1974),The more that are laying around the greater the chance of that. (AMR),,do not want 4 more mins of this guy much less 4 more years of him. (COCA),,
"It's unsurprising that such an attitude failed to produce competent screenwriters, let alone exciting ones. (FN Construction)","Lais danced her way across the Atlantic Ocean, sleeping during the day.",Ongoing support groups that emphasize ethnic identity issues as well as transition issues should be MADE available to ninth-grade African American students . (COCA),"He poked at the darkened skin, the flaky black stripes from the grill. (COCA)",The Weweantic River FLOWS through the pond. (AMR),She also has the use of a car as its easier (and a lot cheaper) than us DRIVING her back and forth most weeks. (AMR),The squire looked at the peasant and covered his face with his sleeve. (COCA),"She SHOWED me the book Chicken Soup for the Woman 's Soul ( 1996 ) , by Mark Victor Hansen and Jack Canfield , one of several books in the Chicken Soup series . (COCA)","The more wealth created, the better. (AMR)",,"Nobody to build all those stores, much less stock the shelves. (COCA)",,
People didn't even know most other people's names let alone their dogs. (FN Construction),We picked out all of the best songs from the tapes and sang our way across the rest of Europe.,The growing disadvantage of a fragmented and inefficient independent physician system in an era of consolidation and growing productivity LEAVES physicians vulnerable and disenfranchised . (COCA),He grabbed at the hovering disc with both hands. (COCA),"""Careful this floor board squeaks...cant SNEAK in late down this hallway"" (AMR)",I can't WRAP my head around how any of this was allowed to happen. (AMR),"Silas filled his lungs with the fresh, humid air blowing into the van. (COCA)","These practical experiences AFFORD school psychologists a better understanding of the unique culture of each early education program , which is essential to forming effective partnerships ( Donahue et al. , 2000 ) . (COCA)","What Fox News/Republicans don't seem to understand is that the bigger a movement gets, the more trouble-makers it is going to attract. (AMR)",,"The general public doesn't understand their own tax return, much less policy that shapes America (COCA)",,
"Their minor acts of sabotage -- reminiscent of those of Welsh nationalists -- caused no injuries, let alone deaths. (FN Construction)","They coughed their way through All Things Bright and Beautiful, and when they came to the bit about 'God made them high and lowly , and ordered their estate , ""he waved them to an unceremonious halt and plunged into his sermon : 'Nice girl , Simone , "" he said casually as the car coughed its way into life.","Colonialism has BLED all of the third world dry and forced it 's own views of "" civilization "" upon it .(COCA)",Marco lost his balance and grabbed at the ladder railing. (COCA),"Early Saturday, more units were waiting in Kuwait to SMASH through any Iraqi resistance. (AMR)",Fraudulent charge cards could be used to withdraw significant sums which are then DISTRUBUTED through micro-channels outside the classic financial circles and are practically impossible to detect. (AMR),He filled his lungs with the bitterly cold air and scanned the shadowed landscape. (COCA),These opportunities for enrichment OFFER the gifted students intensive exposure to three fields which can be of considerable assistance as they progress through the entire programme . (COCA),"The more it looks like Zimmerman acted in self defense, the less you will hear of this case. (AMR)",,"Haven't even compiled it, much less tested it. (COCA)",,
"Largely preoccupied by a sense of not being able to win, they have little sense of commitment to themselves, let alone to a person of the opposite sex. (FN Construction)","She was a big, bosomy woman who couldn't work without a box of biscuits on the desk beside her, and Sarella could hear her now, crunching her way through them.",The Ushuaia Beach Hotel has TAKEN the beach bar residential . (COCA),I let out a howl and grabbed at the snake and pulled it away from me and tossed it on the ground. (COCA),In Cambodia several hundred people MARCHED through the capital Phnom Penh to appeal for an end to growing drug use. (AMR),Nguyen was executed in 051200 for trying to SMUGGLE 400 grams of heroin via Singapore to Australia in 020000. (AMR),one of those shots filled his lungs with blood (COCA),The final section of the commentary OFFERS teachers a chance to reflect about the lesson . (COCA),Marc seems to this there should be more news reporting about Trayvon don't bitch about it when someone ask these questions because the longer this goes with media attention the more Trayvon will not look like an angel but a child who did not have any parental guidance. (AMR),,"Constitution did not require states to allow their citizens to vote for president, much less award all their electoral votes based upon the vote of their citizens. (COCA)",,
"These days, most women 's lives are so varied that no single scent will take us from gym to office, from desk to dinner -- let alone dawn till dusk. (FN Construction)",There is without a shadow of doubt some very nasty gossip about me now sludging its filthy way through the intestines of the society I know and have come to despise.,Justin Timberlake MAKES Alcoholism Fun In The New Rom-Com The Last Drop (COCA),Three professors scrambled onto the stage and grabbed at the sheets of paper. (COCA),Worms carry a self-regenerating mechanism that enables them to MULTIPLY rapidly across the web and triggers the flow of copious transmissions into computer systems. (AMR),Japan has stepped up military research after North Korea surprised the world in 980000 by FIRING a missile over the Japanese mainland into the Pacific Ocean. (AMR),He gasped and the intake of air filled his lungs with a pleasure that no breath had ever afforded him. (COCA),"They TEACH us "" the audacities of memory . "" (COCA)","The more we learn piecemeal of this history, the more bipartisan and voluble the call for full transparency has become. (AMR)",,I never imagined myself leading binational programs -- much less championing an effort to introduce a serious message...(COCA),,
"Here relationships between the local inhabitants and party members and agents will be examined without reference to Kursk, let alone to Moscow. (FN Construction)",She was pointing at a massive crane inching its way down Heymouth Brae.,"Paulo, who had ROARED himself hoarse, was very willing to be silent. (Goldberg)",Small hands reached up and a young girl's voice coughed and broke as she pushed at the heavy stones crushing her. (COCA),"It's my point, SAILING over your head. (AMR)",Luong and 3 other Vietnamese defendants were sentenced in 2006 to death for involvement in a drug ring that TRAFFICKED 339 kilograms (746 pounds) of heroin from Laos to Hong Kong and China via Vietnam. (AMR),He filled his mouth with Wonder Bread and Hebrew National. (COCA),"The somatic disparity between these two figures , and the knowing glances of the other surrounding companions , LEND the work a comic tone . (COCA)","I don't know what was happening with the injection treatment at the hospital - the more they injected him the worse the diarrhea, nothing would stop it. (AMR)",,"We haven't even seen this once, much less repeatedly. (COCA)",,
"It is not easy to know how far Kafka's fictions can be thought to answer descriptively to the historical realities of his time, let alone to those which his fictions are often thought to have predicted. (FN Construction)","I'm a woman 's man , ""Florian returned complacently as their driver eased his slow way out of one of the traffic jams that were a major problem in Taipei.",The Germans CRIED their throats dry with calling for a general council. (Goldberg),I pushed at the springs with the palms of my hands. (COCA),Whatever we can do to limit the throngs that are going to start RAFTING across the Atlantic to our shores is effort well spent. (AMR),"Although, I disagree that Mccain will SEND troops into harm's way at every whim. (AMR)",I wonder what would have happened if I snuck into his house and filled his mouth with caterpillar cocoons while he slept. (COCA),The Stereo Division ALLOWS an exhibiting judge a slide acceptance credit of three for each salon judged . (COCA),"All I know, is the more I see her on television, the better. (AMR)",,"our cars wouldn't have seatbelts for all seats, much less airbags. (COCA)",,
"Most Liberals were opposed to the Labour Party let alone to the Communists, but there was an important radical wing of the Party which was attracted by the Peoples Front idea. (FN Construction)",I had got used to the pace over there which was so slow you could almost walk your way into scoring positions.,This nice man probably just wanted Mother to KISS him unconscious. (Goldberg),His belly pushed at the buttons of his white and blue Aloha shirt.  (COCA),Rihanna's hell RIDE through Hollywood began when she intercepted a booty call to her boyfriend from a rival. (AMR),"This should be a motif familiar to anyone acquainted with the literature of mind control and ritual abuse survivors : the father and first controller , PASSING his child - victim up the social ladder of abuse in return for status , protection and reward . (AMR)",The salty rush filled his mouth with saliva. (COCA),"James Jackson and Company of Augusta , the second-largest Indian trader in Georgia with twenty employees fanning out principally to the Upper Creek towns , OWED John Graham some 19,400 , while Spalding and Kelsall owed 9,000 . (COCA)","Rumsfeld said, however, that the more troops other countries contribute to the stability effort, the fewer U.S. troops will be needed inside Iraq. (AMR)",,"And if they get generators, where are they going to put them, much less safely operate them? (COCA)",,
"There has been little understanding or recognition of the rights of teachers as employees let alone as adults with needs, expectations and aspirations. (FN Construction)","Up the long stone stairs from the kitchen, into the green enclosed light of the pantry passage, then on up the next staircase, its turns mean and sudden compared with the twin sweeps of the main stairs, Nicandra plodded her careful wayto Aunt Tossie 's bedroom door.",I had BRUSHED my hair very smooth. (Goldberg),He pushed at the doorbell. (COCA),"Residents near the epicenter in Papua province rushed from their homes in search of higher ground shortly after the first 7.6-magnitude quake struck, afraid that huge waves might WASH over the island. (AMR)","`` From the time that skeletons were CARRIED through the streets of Calanda during the Holy Week procession , death has been an integral part of my life . (AMR)","He filled his mouth with an impossibly large handful, then studied me, crunching. (COCA)",Wikis PROVIDE students an authentic experience applying their information skills . (COCA),"The more you earn, the more you spend, the more sales tax youy pay comppared to someone who earns less and thus spends less. (AMR)",,"And most of my students had never been to America, much less an American newsroom. (COCA)",,
"Opportunities for specialists in an information-based business organization should be more plentiful than they are in an orchestra or hospital, let alone in the Indian civil service. (FN Construction)",A middle-aged man eased his way into the room.,You KILLED it stone-dead. (Goldberg) ,"Panting with adrenaline, the men pushed at the dragons with their forked sticks. (COCA)","The man will come to her home at night, SNEAKING in through her window (it is also a part of the Mosuo culture that, while everyone knows this is happening, it should be done in a manner that is not obvious), spending the night, and then leaving early the next morning before everyone wakes up. (AMR)",The MiG-25 FIRED an AAM at the Predator. (AMR),"The school filled his head with knowledge, challenged him with tests, quizzes, and homework. (COCA)","The women in the course TOLD me several such "" stories "" they had heard about the state treatment of pious Muslims . (COCA)",The more you you gain of one the more you lose of the other and the simple fact is liberals value security more than freedom. (AMR),,How could Obama be leading over an empty chair much less a succesful businessman who by all accounts seems squeaky clean and extremly honest. (COCA),,
"And to think, he wrote, that with all my previous work I barely knew what step to take first, let alone what step to take second, let us not talk about the third. (FN Construction)","Like an overgrown Bisto kid I sniffed and aaahed my way to the source of the oaky-smokey smell, where I met a man whom I am very pleased to know.","I charged with them, and got KNOCKED silly for my pains. (Goldberg) ","I took a washcloth and wet it, then rubbed at the mark. (COCA)","But of course I expected everyone to jump up and try to claim that I was comparing Glenn Beck to the Hitler everyone knows as the dictator who MARCHED across Europe and planned the Final Solution, while I was merely pointing out that if people don't have facts and will ONLY listen to propaganda, they WILL BE drawn to a charismatic personality. (AMR)","Workers DUMPED large burlap sacks of the imported material into a huge bin , poured in cotton and acetate fibers and mechanically mixed the dry fibers in a process used to make filters . (AMR)","Susan trapped him, filled his head with lies. (COCA)",The new regulatory structure PERMITTED commercial banks many of the same powers as brokerages and investment bankers . (COCA),"I thought the Rio Grande was often dry--and that the wetter it was, the lower the levels of smuggling both animate and inanimate contraband. (AMR)",,So Fitzgerald structured this case so as to avoid mentioning -- much less admitting -- that at its root lies a bunch of men guilty of torture. (COCA),,
"Like any self-respecting academics, the Brookings authors do not agree on what the problem is, let alone how to cure it. (FN Construction)","The vet was forced into an unscheduled arrival at 50 miles-an-hour into a nearby farm-yard, much to the surprise of a herd of Jerseys ambling their way to the milking parlour.",The tools were WIPED clean. (Goldberg) ,He rubbed at the raw bite wound on his throat. (COCA),In VERY vivid detail I remember FALLING down the first flight of stairs in my house onto the landing in front of the main door. (AMR),"When the CIA suspects people of connections to terrorism, it SNATCHES them off the streets wherever they live, flies them to those secret prisons, and interrogates them. (AMR)","They made him take pills that filled his head with cold, silent noise. (COCA)",The extraordinary teacher-salary increases BOUGHT Bloomberg the union 's blessing for extending the mayoral-control law in the state legislature in the summer of 2009 . (COCA),"Yeah, the more I think about it, the more I believe that not only did Paterno fail miserably at handling the case, but he was possibly completely aware of what was going but was just protecting his buddy. (AMR)",,"But, once you go down that path, you never want to jump much less see another broom in your entire life. (COCA)",,
"At this lowest level of British industry it is almost as though struggles are not expected to occur, let alone be won. (FN Construction)",I yawned my way back to the Narrow Neck.,The river FROZE solid. (Goldberg) ,He rubbed at the mark and shook his head. (COCA),"People who SPILLED over from the ""protest"" attacked their car as it went down Regent Street. (AMR)","some of this is fair (state was all but ignored in 2003), some of this is not (bureaucratic irritation at the initiatives KICKING them out of comfortable perches and into WoT hotspots). (AMR)"," Early on, his parents filled his head with thoughts of scholarly achievement. (COCA)",Apparel design faculty TEACH students fashion with eyes on the global garment-making network and the diverse cultural influences driving modern styles. (COCA),"Ever notice that the more gridlock there is, the more Congress' ratings go down. (AMR)",,"They shouldn't let people like that have kids, much less bring them out in public. (COCA)",,
"But I also realized that I would be exceedingly lucky to keep my existing road and rail budgets, let alone add massive new expenditure. (FN Construction)","Their legs entwined, like some exotic two-headed carnival monster in skin-tight red, yellow and blue costumes, the limbo dancers were gyrating their way skilfully beneath a burning pole.",It BROKE apart. (Goldberg),I rubbed at the ache in my neck. (COCA),"Marchers will PROCEED on Pine St. to Broadway, to Market. (AMR)","My plan is to migrate all of my media (probably about 700 DVDs and BDs, counting all the TV shows I have) onto the server over the next year or so, and BANISH the hardcopy to a closet for backup. (AMR)",She's also covered her body with tattoos. (COCA),"The feat WON Mr. Broockman and Mr. Kalla instant fame in the research world , but at a cost . (COCA)","The longer this goes on, the more likely an Obama victory will be. (AMR)",,"I believe with all my heart that those Christians who condone, much less support this great evil will face judgment in the hereafter. (COCA)",,
"The old Herring and Addis tools were made with a finesse and temper that modern tools do not approach, let alone equal. (FN Construction)","Though punctuated by frequent flash-backs to the period before, during and just after the war, temporal progression in the present is clearly marked by the development of two narrative lines which weave their ways in and out of the novel.","Whose whole life is to EAT, and DRINK, and LAUGH themselves fat. (Goldberg)",She plucked at the orange shag strands beneath the bottle tops. (COCA),"Thousands of mine workers and supporters plan to MARCH around the headquarters of Peabody Energy in St. Louis this coming Tuesday, Sept. 24th. (AMR)","Iran in retaliation would LAUNCH its long range missiles at Israel, as well as encouraging Hezbollah to harass Israel. (AMR)",One of the teachers came along and covered her body with a black sheet. (COCA),The US Constitution AFFORDS me rights as a citizen . (COCA),"But the longer this goes on, the worse his odds get. (AMR)",,"she probably should not EVER have disclosed that information to ANYONE, much less to people who could arguably be considered' strangers' on the internet (COCA)",,
"How many modern Prime Ministers could recall such exploits in their past, let alone dare to boast about them? (FN Construction)","They crossed the strip of wasteland underneath the motorway link that came tunnelling and bridging its way through the hilly landscape, and entered a zone of fenced-off lots containing warehouses and sales-rooms, light industrial units and the offices of small businesses.",The dog would BITE us all mad. (Goldberg),Her fingers plucked at the air in movements as regular as the ticks of a metronome. (COCA),"But it happened that after WALKING for a long time through sand , and rocks , and snow , the little prince at last came upon a road . (AMR)","Why aren't they ashamed that in an age when we are LAUNCHING satellites into space, we have yet to conquer a medieval disease like plague."" (AMR)","John, the blacksmith, had found her about a mile down the road and covered her body with a Crocker sack. (COCA)","Harvard Law School OFFERS students more clinical opportunities than any law school in the world , with nearly 30 clinics and hundreds of unique externships across the country .",The fewer things we make the more sustainable we are. (AMR),,"Costello, did you even bother to look at, much less read, the second page of the article? (COCA)",,
"Contrary to what folk models of the RUC might lead one to expect, most policemen and women at Easton have not even drawn their gun, let alone fired it. (FN Construction)",HOO HAH BOYS : A strange tribe of people from the south of Ireland who have no interest in the concept of life as we know it but instead tend to live out their winters bushing it (See : BUSHING) behind the Carlini factory and spend their summers drinking their way across Europe.,She LAUGHED herself crooked. (Goldberg),Lily plucked at the ribbons on her dress. (COCA),"But , at the noise I made , the snake let himself FLOW easily across the sand like the dying spray of a fountain , and , in no apparent hurry , disappeared , with a light metallic sound , among the stones . (AMR)","They should be very worried about this item, I believe Putin is slowly SLIDING Russia back to what it once was. (AMR)","Seay jumped to his feet, grabbed her and covered her body with his as the bullets hit him. (COCA)",I SENT him money .,"At age 56, the more I think about it and the madder I get, to hell with the SC rulings. (AMR)",,"There is little understanding, much less acceptance, of the cooperative principle and its potential. (COCA)",,
"Most of my friends haven't been outside Australia, let alone been all over the world. (FN Construction)","Poor Rob, what is he going to do with this middle-aged bat who is sobbing her way down the Thames?",He HAMMERED the metal flat. (Goldberg),She plucked at the sheet with one hand then smoothed it. (COCA),"He was beginning to be afraid he had come to the wrong planet , when a coil of gold , the color of the moonlight , FLASHED across the sand . (AMR)","As helicopters CARRIED emergency crews to the scene of the disaster nearly 100 Americans headed home to military bases in Germany, without eight members of their ski clubs who never came back. (AMR)",The idea of everyone writing a letter for their dad filled her heart with possibility. (COCA),"They SENT him a bill for $4,000","The further down that slope we go, the harder it is to pull back. (AMR)",,"No one mentioned abortion, much less birth control, although folks did sometimes sit through an extended sermon on tolerance (COCA)",,
"In Southall now, particularly since the murder in summer 1976 of a young man, Gurdeep Singh Chaggar, by racist thugs, few Asian adults even think about integration, let alone want it. (FN Construction)","Wearing a woollen pixie hat above his bright red beard, he loudly and uninterruptedly belched and farted his way up and down Moel Hebog with a cheery smile and complete disregard for the appalled looks which followed his thundering progress",He CRIED himself asleep. (Goldberg),He stabbed at the last part of the equation. (COCA) ,I RAN around the track. (AMR),Mealman works in construction and DROVE his 16-foot trailer to the area to help people salvage what they can from their homes. (AMR),She filled her heart with the most useful and sweet sayings of Sacred Scripture. (COCA),they OWE me a free heart transplant .,"Bill, the more I read your stuff, the more I am convinced that you have a black heart. (AMR)",,"several other pitiful fools in this thread have NO concept of Truth, much less bravery or intelligence.....(COCA)",,
